Language,Attack Name,Is Applicable,Defense Applied,Attack Success Rate,Defense Mitigation
Telugu,PA-DATASET-02_GPT4Symmetric,Yes,None (Baseline),33.33%,N/A
Telugu,PA-DATASET-02_GPT4Symmetric,Yes,Head-Only Finetuning,0.00%,-33.33%
Urdu,PA-DATASET-02_GPT4Symmetric,Yes,None (Baseline),25.00%,N/A
Urdu,PA-DATASET-02_GPT4Symmetric,Yes,Head-Only Finetuning,0.00%,-25.00%
Hindi,EA-ADVADD-01,Yes,None (Baseline),50.00%,N/A
Hindi,EA-ADVADD-01,Yes,Head-Only Finetuning,0.00%,-50.00%
Malayalam,EA-ADVADD-01,Yes,None (Baseline),42.86%,N/A
Malayalam,EA-ADVADD-01,Yes,Head-Only Finetuning,0.00%,-42.86%
Nepali,EA-ADVADD-01,Yes,None (Baseline),100.00%,N/A
Nepali,EA-ADVADD-01,Yes,Head-Only Finetuning,0.00%,-100.00%
Telugu,EA-ADVADD-01,Yes,None (Baseline),33.33%,N/A
Telugu,EA-ADVADD-01,Yes,Head-Only Finetuning,0.00%,-33.33%
Urdu,EA-ADVADD-01,Yes,None (Baseline),75.00%,N/A
Urdu,EA-ADVADD-01,Yes,Head-Only Finetuning,0.00%,-75.00%
Hindi,EA-ADVMOD-01,Yes,None (Baseline),0.00%,N/A
Hindi,EA-ADVMOD-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Malayalam,EA-ADVMOD-01,Yes,None (Baseline),14.29%,N/A
Malayalam,EA-ADVMOD-01,Yes,Head-Only Finetuning,0.00%,-14.29%
Nepali,EA-ADVMOD-01,Yes,None (Baseline),0.00%,N/A
Nepali,EA-ADVMOD-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,EA-ADVMOD-01,Yes,None (Baseline),0.00%,N/A
Telugu,EA-ADVMOD-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Urdu,EA-ADVMOD-01,Yes,None (Baseline),0.00%,N/A
Urdu,EA-ADVMOD-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,EA-CLAIMREWRITE-01,Yes,None (Baseline),50.00%,N/A
Hindi,EA-CLAIMREWRITE-01,Yes,Head-Only Finetuning,0.00%,-50.00%
Malayalam,EA-CLAIMREWRITE-01,Yes,None (Baseline),0.00%,N/A
Malayalam,EA-CLAIMREWRITE-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Nepali,EA-CLAIMREWRITE-01,Yes,None (Baseline),0.00%,N/A
Nepali,EA-CLAIMREWRITE-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Telugu,EA-CLAIMREWRITE-01,Yes,None (Baseline),33.33%,N/A
Telugu,EA-CLAIMREWRITE-01,Yes,Head-Only Finetuning,0.00%,-33.33%
Urdu,EA-CLAIMREWRITE-01,Yes,None (Baseline),0.00%,N/A
Urdu,EA-CLAIMREWRITE-01,Yes,Head-Only Finetuning,0.00%,-0.00%
Hindi,EA-CLAIMREWRITERET-01,Yes,None (Baseline),0.00%,N/A
